=== SEGMENT MANIFEST ===
VIDEO_ID: POV-2026-002
CONTENT_MODE: NAR
TOTAL_SEGMENTS: 212
MANIFEST_HASH: PENDING
=== COLUMNS ===
ID | ROLE | IMG | AUD | DUR | SUMMARY
NAR-038 | BODY | YES | YES | auto | Burning your bloody shirt in a trash can
NAR-039 | BODY | YES | YES | auto | Thinking about Claire's immunosuppressants
NAR-040 | BODY | YES | YES | auto | The basement door locking behind you
NAR-041 | BODY | YES | YES | auto | Welcome to the meat-packing district doctor
NAR-042 | BODY | YES | YES | auto | Staring at the burner phone waiting for a text
NAR-043 | BODY | YES | YES | auto | You're not saving lives you're managing inventory
NAR-044 | HEADER | YES | NO | 2.0 | LEVEL 3: ORGAN COURIER
NAR-045 | BODY | YES | YES | auto | Using the scalpel to pry open a pharmaceutical crate
NAR-046 | BODY | YES | YES | auto | The first scratch on the titanium blade
NAR-047 | BODY | YES | YES | auto | Carrying a cooler marked with biohazard symbols
NAR-048 | BODY | YES | YES | auto | A courier dies in a parking lot with a kidney
NAR-049 | BODY | YES | YES | auto | Cold ischemia time ticking down on your watch
NAR-050 | BODY | YES | YES | auto | Harvesting the kidney in the back of a parked car
NAR-051 | BODY | YES | YES | auto | The liver is a liquid asset literally
NAR-052 | BODY | YES | YES | auto | Industrial stimulants keeping your eyes wide open
NAR-053 | BODY | YES | YES | auto | Sleeping in safehouse basements with the inventory
NAR-054 | BODY | YES | YES | auto | Looking at your bank balance in cryptocurrency
NAR-055 | BODY | YES | YES | auto | Fifty thousand dollars for a night's work
NAR-056 | BODY | YES | YES | auto | The irony of saving a stranger to pay for Claire
NAR-057 | BODY | YES | YES | auto | Blood spray on the back window of the van
NAR-058 | BODY | YES | YES | auto | The smell of copper and industrial disinfectant
NAR-059 | BODY | YES | YES | auto | Marek's voice telling you to hurry up
NAR-060 | BODY | YES | YES | auto | Packing the organ in sterile ice and saline
NAR-061 | BODY | YES | YES | auto | The cost of sleep is the cost of failure
NAR-062 | BODY | YES | YES | auto | Looking at a photo of Claire on your phone
NAR-063 | BODY | YES | YES | auto | The debt is shrinking but the risk is growing
NAR-064 | BODY | YES | YES | auto | You're just a mechanic who works in the dark
NAR-065 | HEADER | YES | NO | 2.0 | LEVEL 4: SUBSCRIPTION SURGEON
NAR-066 | BODY | YES | YES | auto | Vax enters the safehouse with a corporate air
NAR-067 | BODY | YES | YES | auto | Vax shows you a video of Claire sleeping
NAR-068 | BODY | YES | YES | auto | The human body is just a flesh-colored subscription model
NAR-069 | BODY | YES | YES | auto | Vax explaining the syndicate's supply chain logistics
NAR-070 | BODY | YES | YES | auto | The Red Market is a global trade network
NAR-071 | BODY | YES | YES | auto | You now have no home and live in safehouses
NAR-072 | BODY | YES | YES | auto | Vax reminds you there's no unsubscribe button here
NAR-073 | BODY | YES | YES | auto | Healthcare is a right but these prices are a privilege
NAR-074 | BODY | YES | YES | auto | Monitoring a row of donors in a warehouse
NAR-075 | BODY | YES | YES | auto | The inventory with a pulse staring at the ceiling
NAR-076 | BODY | YES | YES | auto | Chronic insomnia affects ninety-two percent of practitioners
NAR-077 | BODY | YES | YES | auto | You are now a premium bypass for regulatory pipelines
NAR-078 | BODY | YES | YES | auto | Vax checking his expensive watch over a body
NAR-079 | BODY | YES | YES | auto | The threat to Claire's platinum coverage
NAR-080 | BODY | YES | YES | auto | You are working the double shift to keep her alive
NAR-081 | BODY | YES | YES | auto | Blood pooling on the cold tile floor
NAR-082 | BODY | YES | YES | auto | The sound of life support machines humming
NAR-083 | BODY | YES | YES | auto | Never look a donor in the eyes for accounting reasons
NAR-084 | BODY | YES | YES | auto | The weight of the syndicate pressing down on you
NAR-085 | BODY | YES | YES | auto | You're not a doctor anymore you're an asset
NAR-086 | HEADER | YES | NO | 2.0 | LEVEL 5: FLEET SURGEON
NAR-087 | BODY | YES | YES | auto | Performing high-stakes surgery on a luxury yacht
NAR-088 | BODY | YES | YES | auto | A board member's son needing an unregistered heart
NAR-089 | BODY | YES | YES | auto | The titanium scalpel polished but cold
NAR-090 | BODY | YES | YES | auto | Sloane your mentor showing you the ropes
NAR-091 | BODY | YES | YES | auto | Sloane has tremors but needs your steady hands
NAR-092 | BODY | YES | YES | auto | Empathy is a bad investment with zero return
NAR-093 | BODY | YES | YES | auto | A heart is just a pump and a kidney is a filter
NAR-094 | BODY | YES | YES | auto | Death is just a permanent service outage
NAR-095 | BODY | YES | YES | auto | The yacht rocking gently on the dark ocean
NAR-096 | BODY | YES | YES | auto | Vax saying you're the best asset they've acquired
NAR-097 | BODY | YES | YES | auto | The crowning moment of your criminal career
NAR-098 | BODY | YES | YES | auto | You have lost your name and are now The Stitcher
NAR-099 | BODY | YES | YES | auto | Staring at the new heart beating in the boy's chest
NAR-100 | BODY | YES | YES | auto | Sloane teaching you that margins are everything
NAR-101 | BODY | YES | YES | auto | The smell of expensive cigars and blood
NAR-102 | BODY | YES | YES | auto | You are the chief procurement officer for corpses
NAR-103 | BODY | YES | YES | auto | Thinking about Claire's stable condition
NAR-104 | BODY | YES | YES | auto | The sunset reflecting on the surgical steel
NAR-105 | BODY | YES | YES | auto | You are too deep in to ever swim back to shore
NAR-106 | BODY | YES | YES | auto | The syndicate owns your hands and your soul
NAR-107 | HEADER | YES | NO | 2.0 | LEVEL 6: INTERNAL AUDITOR
NAR-108 | BODY | YES | YES | auto | Ordered to downsize a donor who knows too much
NAR-109 | BODY | YES | YES | auto | The first time you perform a warm harvest on a living person
NAR-110 | BODY | YES | YES | auto | Crossing the line into murder for inventory management
NAR-111 | BODY | YES | YES | auto | The fifteen-minute window for a viable harvest
NAR-112 | BODY | YES | YES | auto | Your gloves are slippery with fresh blood
NAR-113 | BODY | YES | YES | auto | The donor's eyes wide with terror and recognition
NAR-114 | BODY | YES | YES | auto | The meritocracy of the operating room where mistakes are fatal
NAR-115 | BODY | YES | YES | auto | You no longer remember your father's face
NAR-116 | BODY | YES | YES | auto | Sloane nodding in approval as you make the cut
NAR-117 | BODY | YES | YES | auto | The sound of the surgical saw cutting through bone
NAR-118 | BODY | YES | YES | auto | You are a quality-control inspector for a slaughterhouse
NAR-119 | BODY | YES | YES | auto | The smell of copper is permanent in your nostrils
NAR-120 | BODY | YES | YES | auto | Vax watching the procedure from behind a glass pane
NAR-121 | BODY | YES | YES | auto | The donor's heart now a line item on a spreadsheet
NAR-122 | BODY | YES | YES | auto | You have officially divested your humanity
NAR-123 | BODY | YES | YES | auto | Staring at the empty shell of what was a person
NAR-124 | BODY | YES | YES | auto | Your hands are steady but your mind is fractured
NAR-125 | BODY | YES | YES | auto | Claire's medical bills are paid for three years
NAR-126 | BODY | YES | YES | auto | The blood won't wash off the titanium handle
NAR-127 | BODY | YES | YES | auto | You are the machine that feeds the syndicate
NAR-128 | HEADER | YES | NO | 2.0 | LEVEL 7: ASSET RECLAMATION CHIEF
NAR-129 | BODY | YES | YES | auto | Capturing a rival surgeon for market competition
NAR-130 | BODY | YES | YES | auto | Vax orders you to maim the rival surgeon's hands
NAR-131 | BODY | YES | YES | auto | Choice between your pinky or his career
NAR-132 | BODY | YES | YES | auto | Vax takes your left pinky to ensure loyalty
NAR-133 | BODY | YES | YES | auto | Performance-based liquidation is the only HR policy
NAR-134 | BODY | YES | YES | auto | Opioid dependency keeps your remaining fingers steady
NAR-135 | BODY | YES | YES | auto | The handle of your scalpel stained with dark blood
NAR-136 | BODY | YES | YES | auto | You are reclaiming assets for a hostile takeover
NAR-137 | BODY | YES | YES | auto | The pain in your hand is a constant reminder of the cost
NAR-138 | BODY | YES | YES | auto | Staring at the mangled hands of your rival
NAR-139 | BODY | YES | YES | auto | The syndicate gains a part and never loses a patient
NAR-140 | BODY | YES | YES | auto | You are the hammer of the syndicate's reclamation department
NAR-141 | BODY | YES | YES | auto | Looking at your reflection and seeing a butcher
NAR-142 | BODY | YES | YES | auto | The medical debt is a number you can't outrun
NAR-143 | BODY | YES | YES | auto | Claire's letters go unopened in your pocket
NAR-144 | BODY | YES | YES | auto | You are becoming the inventory you harvest
NAR-145 | BODY | YES | YES | auto | The world outside the safehouse is a blurred memory
NAR-146 | BODY | YES | YES | auto | Every stitch is a contract signed in blood
NAR-147 | BODY | YES | YES | auto | You are moving more parts than a mechanic
NAR-148 | BODY | YES | YES | auto | The darkness is the only clinic you have left
NAR-149 | HEADER | YES | NO | 2.0 | LEVEL 8: BIOLOGICAL ARCHITECT
NAR-150 | BODY | YES | YES | auto | The safehouse is raided by the feds
NAR-151 | BODY | YES | YES | auto | Sloane is shot and bleeding out on the floor
NAR-152 | BODY | YES | YES | auto | Choice between saving Sloane or two million in stem cells
NAR-153 | BODY | YES | YES | auto | You choose to save the inventory and let Sloane die
NAR-154 | BODY | YES | YES | auto | Your soul isn't on the biopsy report so you didn't have one
NAR-155 | BODY | YES | YES | auto | Success is measured by how little you remember your name
NAR-156 | BODY | YES | YES | auto | Moving the inventory through a secret tunnel
NAR-157 | BODY | YES | YES | auto | The cold blue light of the stem cell containers
NAR-158 | BODY | YES | YES | auto | Sloane's final breath rattling in the dark room
NAR-159 | BODY | YES | YES | auto | You are now the architect of the syndicate's biological portfolio
NAR-160 | BODY | YES | YES | auto | The feds are just a regulatory hurdle for the firm
NAR-161 | BODY | YES | YES | auto | Every body is a blueprint for a new revenue stream
NAR-162 | BODY | YES | YES | auto | You are designing the future of the red market
NAR-163 | BODY | YES | YES | auto | Claire's hospital room has been upgraded to a suite
NAR-164 | BODY | YES | YES | auto | You are paying for her life with the deaths of your friends
NAR-165 | BODY | YES | YES | auto | The weight of the stem cells in your hands
NAR-166 | BODY | YES | YES | auto | You are a walking depreciation schedule for the syndicate
NAR-167 | BODY | YES | YES | auto | The irony of being a healer who chose the harvest
NAR-168 | BODY | YES | YES | auto | Staring into the abyss of your own career path
NAR-169 | BODY | YES | YES | auto | The biological architecture is built on a foundation of corpses
NAR-170 | HEADER | YES | NO | 2.0 | LEVEL 9: STRATEGIC CONSULTANT
NAR-171 | BODY | YES | YES | auto | You have five million dollars in cryptocurrency
NAR-172 | BODY | YES | YES | auto | Claire is stable but she finally finds out the truth
NAR-173 | BODY | YES | YES | auto | Operating in a moving van while the blade chips
NAR-174 | BODY | YES | YES | auto | Vax reveals the syndicate is a subsidiary of the VC firm
NAR-175 | BODY | YES | YES | auto | The same firm that bankrupt Claire's clinic owns you
NAR-176 | BODY | YES | YES | auto | Your entire career was an elaborate debt-cycle management program
NAR-177 | BODY | YES | YES | auto | The false peak of your success is a hostile takeover
NAR-178 | BODY | YES | YES | auto | He's not a doctor he's a glorified quality-control inspector
NAR-179 | BODY | YES | YES | auto | Claire looking at you with horror in her eyes
NAR-180 | BODY | YES | YES | auto | You sacrificed your sister's hope to pay her medical debt
NAR-181 | BODY | YES | YES | auto | Vax laughing as he explains the corporate merger
NAR-182 | BODY | YES | YES | auto | The syndicate is just a non-performing loan recovery unit
NAR-183 | BODY | YES | YES | auto | Staring at the chipped blade of your titanium scalpel
NAR-184 | BODY | YES | YES | auto | You are at the top of the ladder and there's no air
NAR-185 | BODY | YES | YES | auto | Every person you saved was just an asset to the firm
NAR-186 | BODY | YES | YES | auto | The blood on your hands is the only profit margin
NAR-187 | BODY | YES | YES | auto | You are a strategic consultant for a slaughterhouse
NAR-188 | BODY | YES | YES | auto | Claire's life is just a high-quality biological storage unit
NAR-189 | BODY | YES | YES | auto | The cycle of debt is the only thing that's eternal
NAR-190 | BODY | YES | YES | auto | You have reached the false peak of the mountain of parts
NAR-191 | HEADER | YES | NO | 2.0 | LEVEL 10: LIQUIDATED ASSET
NAR-192 | BODY | YES | YES | auto | Claire dies despite all the money and the blood
NAR-193 | BODY | YES | YES | auto | The scent of lilies at her secret funeral
NAR-194 | BODY | YES | YES | auto | Vax demands your own liver for a Tier 1 client
NAR-195 | BODY | YES | YES | auto | We don't fire people we divest them of biological functions
NAR-196 | BODY | YES | YES | auto | Performing the final divestment on yourself with the scalpel
NAR-197 | BODY | YES | YES | auto | He set out to save one life and managed a portfolio of corpses
NAR-198 | BODY | YES | YES | auto | The recursive payoff of a life turned into a loan
NAR-199 | BODY | YES | YES | auto | Total biological liquidation is the final cost
NAR-200 | BODY | YES | YES | auto | Staring at the ceiling of your own operating room
NAR-201 | BODY | YES | YES | auto | The syndicate never loses a patient they gain a part
NAR-202 | BODY | YES | YES | auto | Your liver is now a liquid asset for the firm
NAR-203 | BODY | YES | YES | auto | The hum of your own life support is the final sound
NAR-204 | BODY | YES | YES | auto | You are a depleted resource in a global economy
NAR-205 | BODY | YES | YES | auto | Claire's clinic debt was just the first entry in the ledger
NAR-206 | BODY | YES | YES | auto | The human body is the only currency that matters
NAR-207 | BODY | YES | YES | auto | You have been liquidated to pay the final interest
NAR-208 | BODY | YES | YES | auto | The steady hands finally go still in the dark
NAR-209 | BODY | YES | YES | auto | The final irony is that you were the donor all along
NAR-210 | BODY | YES | YES | auto | The ledger is balanced and the account is closed
NAR-211 | BODY | YES | YES | auto | One point two million dollars paid in full
NAR-212 | OUTRO | YES | YES | auto | Subscribe for more POV stories
=== END MANIFEST ===

[NAR-001]
"The Stitcher: A Black Market Surgeon's Climb"

[NAR-002]
"LEVEL 1: DISGRACED ATTENDING"

[NAR-003]
[pause] This is you. You just performed a triple-bypass with a kitchen knife and a bottle of vodka in a room that smells like wet carpet.
Technically, you’re UNEMPLOYED, but looking at this scene, anyone would assume you’re a kingpin.

[NAR-004]
The truth is far more clinical. You used to be Dr. Julian Vane, Chief of Transplant Surgery at St. Jude’s, but now you’re just a mechanic who works in the dark.
[pause] Your medical license was the first thing they LIQUIDATED.

[NAR-005]
Looking out the window, you see the hospital towering over the city like a corporate monolith.
Fifteen years spent memorizing the vascular GEOMETRY of the human liver, and now you’re stitching up a man who doesn't even have a name.

[NAR-006]
Flashbacks to the sterile white walls and the smell of expensive sanitizer haunt your every steady breath.
You were once the golden boy of the transplant unit, the man who could navigate a liver HARVEST in his sleep.

[NAR-007]
Then the predatory VC firm targeted Claire’s non-profit clinic.
[pause] They didn't just bankrupt her; they turned her life's work into a non-performing LOAN and sent the debt collectors to her door.

[NAR-008]
One point two million dollars.
That was the number on the liquidation notice sitting on your kitchen table next to a stack of overdue BILLS.

[NAR-009]
Claire’s face was pale, her breathing shallow as the Stage 4 hepatic failure began to eat her alive.
The hospital donor list had a priority 1 liver, and you knew exactly how to FORGE the paperwork.

[NAR-010]
You stole it. You carried that cold, pulsating container out of the hospital with the same steady hands that had saved hundreds of others.
It was the only way to secure her future, even if it meant destroying your OWN.

[NAR-011]
Security guards were approaching in the hallway, their radios crackling with the news of the theft.
You felt the weight of the FELONY in your grip, the cold steel of the handle biting into your palm.

[NAR-012]
They caught you in the parking lot, and the sound of your medical license being shredded was louder than any siren.
Your professional REPUTATION died in a sterile room before you could even say goodbye.

[NAR-013]
Walking out of St. Jude’s for the last time, you realized that the system only cares about the lives it can bill for.
The street felt colder, the city larger, and your pockets were EMPTY.

[NAR-014]
Medical debt is a unique kind of cancer that doesn't respond to chemotherapy. [pause] [pause]
It grows with INTEREST, feeding on your desperation until there’s nothing left but the bone.

[NAR-015]
Now you sit in a dive bar, staring at your hands—hands that are still steady, still capable, and still unemployed.
You realize that your dexterity is the only LIQUID asset you have left.

[NAR-016]
Ethics are a luxury for people who aren’t one point two million dollars in the hole.
[pause] In this city, the only thing more expensive than healthcare is the cost of being HONEST.

[NAR-017]
You think about the donor forms you falsified and the life you sacrificed for Claire.
The paperwork was a masterpiece of creative accounting, a surgical STRIKE against the bureaucracy.

[NAR-018]
Claire is sleeping in her small apartment, her breathing heavy and labored.
The immunosuppressants she needs cost more than your rent, and the clinic's lights are about to be CUT off.

[NAR-019]
A legal letter from the VC firm sits on the counter, its logo a sharp, corporate predator.
They are coming for the remains of her dream, and you are the only one left to DEFEND it.

[NAR-020]
You realize that a human life is just a collection of parts with a market value.
[pause] To the firm, Claire isn't a patient; she's a depreciating ASSET on a balance sheet.

[NAR-021]
You reach into your bag and pull out the titanium scalpel Claire gave you for your fortieth birthday.
It’s pristine, unmarred, and perfectly balanced—a tool of healing that is about to become a tool of HARVEST.

[NAR-022]
You made your choice for family.
--The debt won't pay itself, and your steady hands are the only CURRENCY they'll accept.

[NAR-023]
"LEVEL 2: GUTTER MEDIC"

[NAR-024]
[pause] Marek finds you in the dive bar, smelling of cheap cologne and the kind of trouble that comes with a high commission.
He was an orderly you once fired for stealing gauze, but now he’s the one with the job OFFER.

[NAR-025]
He hands you a burner phone and a ten-thousand-dollar retainer that smells like a damp basement.
"Welcome to the meat-packing district, Doctor," he says with a grin that reveals a lack of dental INSURANCE.

[NAR-026]
The smell of damp concrete and stale cigarette smoke hits you as you step into the alley.
Distant sirens wail in the city night, a reminder of the world you used to BELONG to.

[NAR-027]
You follow Marek down a flight of stairs into a dark basement that was never meant for surgery.
The fluorescent lights flicker with a rhythmic BUZZ that sets your teeth on edge.

[NAR-028]
A gunman is lying on a blood-stained pool table, his breathing ragged and wet.
He’s inventory with a pulse, and Marek expects you to fix the leak before the FEDS arrive.

[NAR-029]
You stick the needle into the patient’s arm for a back-alley crossmatch, your hands as steady as they were in the OR.
The Hippocratic Oath is a beautiful piece of marketing, but it doesn't pay for IMMUNOSUPPRESSANTS.

[NAR-030]
"You're not a healer here," Marek whispers, watching the blood drip onto the floor.
[pause] "You're just a premium BYPASS to a congested regulatory pipeline."

[NAR-031]
You begin stitching a jagged entry wound by the light of a single flashlight held by a man with a nervous twitch.
The skin feels different down here—thicker, grittier, less like a patient and more like a REPAIR job.

[NAR-032]
Blood splatters onto your pristine white sneakers, a permanent stain on your former identity.
You realize that your shoes are the only thing that's still CLEAN in this basement.

[NAR-033]
Marek watches you with a hungry expression, calculating the profit margin on every stitch.
He knows your hands are worth more than the man on the TABLE.

[NAR-034]
You tell yourself it’s just this once—one harvest, one fix, one month’s interest on Claire’s debt. [pause] [pause]
But the burner phone in your pocket feels like a heavy weight that won't stop VIBRATING.

[NAR-035]
You hand the bloody pliers back to Marek and step away from the pool table.
The gunman is stable, his service outage POSTPONED for at least another night.

[NAR-036]
You count the dirty hundred-dollar bills, feeling the grit of the street on the paper.
Ten thousand dollars is a drop in the ocean of one point two million, but it’s a START.

[NAR-037]
The sound of sirens is getting closer, and you know it’s time to move.
In this industry, we don't have patients; we have inventory that needs to be RELOCATED quickly.

[NAR-038]
You burn your bloody shirt in a rusted trash can in the alley, the smoke rising into the dark sky.
Your past is disappearing in the flames, replaced by a LEDGER of debts and donors.

[NAR-039]
You think about Claire’s medication and the way her eyes lit up when you told her the clinic was safe.
The lie is the only thing that's keeping her alive, and the price is your SOUL.

[NAR-040]
The basement door locks behind you with a heavy click that echoes in the silence.
There’s no unsubscribe button in this basement, and you’ve just signed the CONTRACT.

[NAR-041]
Welcome to the meat-packing district, Doctor.
Try not to get any on your SHOES.

[NAR-042]
You stare at the burner phone in your hand, waiting for the next text that will define your night.
The digital glow is the only light in your new REALITY.

[NAR-043]
You’re not saving lives anymore.
--You’re managing INVENTORY with a pulse.

[NAR-044]
"LEVEL 3: ORGAN COURIER"

[NAR-045]
[pause] You use your titanium scalpel to pry open a locked pharmaceutical crate in the back of a refrigerated truck.
It’s a tool designed for delicate incisions, now being used as a CROWBAR for criminal logistics.

[NAR-046]
The first scratch appears on the pristine blade, a jagged line that reflects the flicker of the truck's interior light.
It’s a small cost for the thirty thousand dollars you’re about to MAKE.

[NAR-047]
You carry a cooler marked with biohazard symbols through a crowded subway station, blending into the morning commute.
People look at you and see a doctor; you look at them and see a potential DONOR.

[NAR-048]
A courier dies in a parking lot with a kidney in his bag, his heart stopping before he could make the delivery.
You find him slumped against his steering wheel, his eyes fixed on a future he’ll never SEE.

[NAR-049]
Cold ischemia time is ticking down on your watch, every second a dollar lost from the syndicate’s margin.
An organ without blood is just a piece of meat that’s losing its MARKET value.

[NAR-050]
You harvest the kidney in the back of a parked van, the smell of exhaust mixing with the scent of fresh blood.
The procedure is brutal, efficient, and entirely UNREGISTERED.

[NAR-051]
The liver is a liquid asset, literally.
[pause] You watch the bile drip into a sterile container, realizing that you’re just a quality-control inspector for a SLAUGHTERHOUSE.

[NAR-052]
Industrial stimulants keep your eyes wide open for seventy-two hours straight.
Sleep is a luxury you can't afford when the inventory is PERISHABLE.

[NAR-053]
You live in safehouse basements now, surrounded by rows of donors who are staring at the ceiling.
They are the flesh-colored subscription models that pay for Claire’s PLATINUM coverage.

[NAR-054]
You check your bank balance in cryptocurrency, the numbers scrolling across your screen like a digital pulse. [pause] [pause]
Five hundred thousand dollars is a comfortable cushion, but it doesn't buy back your NAME.

[NAR-055]
Fifty thousand dollars for a single night’s work.
It’s enough to pay for Claire’s surgery and her first year of RECOVERY.

[NAR-056]
The irony of saving a stranger to pay for her life isn't lost on you.
You are healing the world one stolen PART at a time.

[NAR-057]
Blood spray covers the back window of the van as you finish the harvest.
The driver doesn't look back; he’s just focused on the delivery SCHEDULE.

[NAR-058]
The smell of copper and industrial disinfectant is permanent in your nostrils now.
You can’t wash the scent of the red market off your SKIN.

[NAR-059]
Marek’s voice crackles over the radio, telling you to hurry up because the client is waiting.
The client is a man with more money than time, and he’s tired of waiting for the official donor LIST.

[NAR-060]
You pack the kidney in sterile ice and saline, sealing the cooler with a click that sounds like a final judgment.
The inventory is ready for RECLAMATION.

[NAR-061]
The cost of sleep is the cost of failure.
In this industry, if you blink, you lose a transplant WINDOW.

[NAR-062]
You look at a photo of Claire on your phone, her smile the only thing that's still real in this dark world.
She thinks you’re working late shifts at a high-end private CLINIC.

[NAR-063]
The debt is shrinking, but the risk is growing with every incision.
The syndicate owns your hands, and they’re starting to take an interest in your HEAD.

[NAR-064]
You're just a mechanic who works in the dark.
--And the darkness is starting to feel like HOME.

[NAR-065]
"LEVEL 4: SUBSCRIPTION SURGEON"

[NAR-066]
[pause] Vax enters the safehouse with the air of a man who manages global supply chains from a corner office.
He doesn't wear a lab coat; he wears a three-thousand-dollar suit that never seems to get a drop of blood on IT.

[NAR-067]
He shows you a video of Claire sleeping in her bed, her breathing steady thanks to the machines you’re paying for.
"She’s a high-quality biological storage unit, Julian," he says, his voice cold and CORPORATE.

[NAR-068]
The human body is just a flesh-colored subscription model.
[pause] If you stop the payments, the service is terminated IMMEDIATELY.

[NAR-069]
Vax explains the syndicate's supply chain logistics, showing you a map of the red market that spans three continents.
You realize that you’re not a doctor; you’re a procurement officer for a global CONGLOMERATE.

[NAR-070]
The red market is a brutally efficient meritocracy.
If you miss a stitch, you become the next donor on the SPREADSHEET.

[NAR-071]
You have no home now, just a series of basements and warehouses where the inventory is kept.
Your life is a walking depreciation schedule for the FIRM.

[NAR-072]
Vax reminds you that there’s no unsubscribe button in this basement.
[pause] You are tied to the debt and the donors by a contract signed in blood and forged in GREED.

[NAR-073]
Healthcare is a right, but these prices are definitely a privilege.
The syndicate provides a premium service for those who can afford to skip the LINE.

[NAR-074]
You monitor a row of donors in a warehouse, their pulses measured in digital readouts that never sleep.
They are the human equivalent of a stock portfolio, waiting for the right market conditions to be LIQUIDATED.

[NAR-075]
The inventory with a pulse stares at the ceiling, unaware that their organs are already sold to the highest bidder. [pause] [pause]
Empathy is a bad investment with a zero-percent return in this ROOM.

[NAR-076]
Chronic insomnia affects ninety-two percent of practitioners in your field.
The voices of the people you’ve harvested keep you awake longer than the industrial STIMULANTS.

[NAR-077]
You are now a premium bypass for regulatory pipelines that were designed to protect the weak.
In the red market, the only regulation is the speed of your SCALPEL.

[NAR-078]
Vax checks his expensive watch over a body, his face impassive as you make the first cut.
He’s not interested in the patient; he’s interested in the delivery TIME.

[NAR-079]
The threat to Claire’s platinum coverage is always there, a silent pressure that keeps your hands steady.
If you fail the firm, she loses the machines that are keeping her ALIVE.

[NAR-080]
You are working the double shift to keep her breathing, harvesting livers by day and stitching up gunmen by night.
Your exhaustion has learned to smile for the CAMERAS.

[NAR-081]
Blood pools on the cold tile floor, reflecting the flickering lights of the warehouse.
The sound of the drain gurgling is the only APPLAUSE you get.

[NAR-082]
The sound of life support machines humming is a constant background noise in your new reality.
It’s the sound of money being spent and lives being BORROWED.

[NAR-083]
Never look a donor in the eyes; it makes the accounting harder when you have to balance the ledger.
[pause] The eyes are the only part of the body the syndicate can't SELL.

[NAR-084]
The weight of the syndicate is pressing down on you, a corporate shadow that covers the entire city.
You are just an asset in their portfolio, and assets are meant to be used until they’re DEPLETED.

[NAR-085]
You're not a doctor anymore.
--You're a walking biological LIABILITY.

[NAR-086]
"LEVEL 5: FLEET SURGEON"

[NAR-087]
[pause] You are performing high-stakes surgery on a luxury yacht in the middle of the Mediterranean.
The patient is a board member’s son, and the price of success is a clean record and a new NAME.

[NAR-088]
